[2025-04-21T12:49:23.590+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-04-21T12:49:23.633+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: hourly_etl_pipeline.load_stg manual__2025-04-21T12:44:20.575125+00:00 [queued]>
[2025-04-21T12:49:23.649+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: hourly_etl_pipeline.load_stg manual__2025-04-21T12:44:20.575125+00:00 [queued]>
[2025-04-21T12:49:23.650+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2025-04-21T12:49:23.680+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_stg> on 2025-04-21 12:44:20.575125+00:00
[2025-04-21T12:49:23.686+0000] {standard_task_runner.py:63} INFO - Started process 236 to run task
[2025-04-21T12:49:23.699+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'hourly_etl_pipeline', 'load_stg', 'manual__2025-04-21T12:44:20.575125+00:00', '--job-id', '7', '--raw', '--subdir', 'DAGS_FOLDER/hourly_etl_pipeline.py', '--cfg-path', '/tmp/tmpf_v2y5sn']
[2025-04-21T12:49:23.703+0000] {standard_task_runner.py:91} INFO - Job 7: Subtask load_stg
[2025-04-21T12:49:23.851+0000] {task_command.py:426} INFO - Running <TaskInstance: hourly_etl_pipeline.load_stg manual__2025-04-21T12:44:20.575125+00:00 [running]> on host ab2b55c0754d
[2025-04-21T12:49:23.999+0000] {logging_mixin.py:188} WARNING - /root/.local/lib/python3.8/site-packages/***/utils/context.py:212 AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
[2025-04-21T12:49:24.114+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='hourly_etl_pipeline' AIRFLOW_CTX_TASK_ID='load_stg' AIRFLOW_CTX_EXECUTION_DATE='2025-04-21T12:44:20.575125+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-21T12:44:20.575125+00:00'
[2025-04-21T12:49:24.115+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-04-21T12:49:24.159+0000] {logging_mixin.py:188} INFO - Target time: 2025-04-21 11:44:20.575125+00:00
[2025-04-21T12:49:24.212+0000] {base.py:84} INFO - Using connection ID 'postgresql_lab08' for task execution.
[2025-04-21T12:49:24.255+0000] {logging_mixin.py:188} INFO - Processing file: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.287+0000] {base.py:84} INFO - Using connection ID 's3_yandex' for task execution.
[2025-04-21T12:49:24.287+0000] {connection_wrapper.py:384} INFO - AWS Connection (conn_id='s3_yandex', conn_type='aws') credentials retrieved from login and password.
[2025-04-21T12:49:24.780+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.784+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.788+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.792+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.795+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.798+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.801+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.803+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.806+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.810+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.813+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.816+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.823+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.828+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.838+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T12:49:24.842+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
