[2025-04-21T12:49:23.624+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-04-21T12:49:23.663+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: hourly_etl_pipeline.load_stg scheduled__2025-04-21T11:00:00+00:00 [queued]>
[2025-04-21T12:49:23.676+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: hourly_etl_pipeline.load_stg scheduled__2025-04-21T11:00:00+00:00 [queued]>
[2025-04-21T12:49:23.676+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2025-04-21T12:49:23.704+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_stg> on 2025-04-21 11:00:00+00:00
[2025-04-21T12:49:23.708+0000] {standard_task_runner.py:63} INFO - Started process 237 to run task
[2025-04-21T12:49:23.717+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'hourly_etl_pipeline', 'load_stg', 'scheduled__2025-04-21T11:00:00+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/hourly_etl_pipeline.py', '--cfg-path', '/tmp/tmp9117cwrq']
[2025-04-21T12:49:23.721+0000] {standard_task_runner.py:91} INFO - Job 8: Subtask load_stg
[2025-04-21T12:49:23.869+0000] {task_command.py:426} INFO - Running <TaskInstance: hourly_etl_pipeline.load_stg scheduled__2025-04-21T11:00:00+00:00 [running]> on host ab2b55c0754d
[2025-04-21T12:49:24.032+0000] {logging_mixin.py:188} WARNING - /root/.local/lib/python3.8/site-packages/***/utils/context.py:212 AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
[2025-04-21T12:49:24.127+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='hourly_etl_pipeline' AIRFLOW_CTX_TASK_ID='load_stg' AIRFLOW_CTX_EXECUTION_DATE='2025-04-21T11:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-21T11:00:00+00:00'
[2025-04-21T12:49:24.137+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-04-21T12:49:24.208+0000] {logging_mixin.py:188} INFO - Target time: 2025-04-21 10:00:00+00:00
[2025-04-21T12:49:24.274+0000] {base.py:84} INFO - Using connection ID 'postgresql_lab08' for task execution.
[2025-04-21T12:49:24.311+0000] {logging_mixin.py:188} INFO - Processing file: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.349+0000] {base.py:84} INFO - Using connection ID 's3_yandex' for task execution.
[2025-04-21T12:49:24.350+0000] {connection_wrapper.py:384} INFO - AWS Connection (conn_id='s3_yandex', conn_type='aws') credentials retrieved from login and password.
[2025-04-21T12:49:24.919+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.923+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.928+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.931+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.935+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.938+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.941+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.946+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.950+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.954+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.958+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.961+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.964+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.967+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.970+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
[2025-04-21T12:49:24.974+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=10/browser_events.jsonl.zip
