[2025-04-21T13:00:00.831+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-04-21T13:00:00.886+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: hourly_etl_pipeline.load_stg scheduled__2025-04-21T12:00:00+00:00 [queued]>
[2025-04-21T13:00:00.907+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: hourly_etl_pipeline.load_stg scheduled__2025-04-21T12:00:00+00:00 [queued]>
[2025-04-21T13:00:00.908+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-04-21T13:00:00.948+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_stg> on 2025-04-21 12:00:00+00:00
[2025-04-21T13:00:00.954+0000] {standard_task_runner.py:63} INFO - Started process 344 to run task
[2025-04-21T13:00:00.963+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'hourly_etl_pipeline', 'load_stg', 'scheduled__2025-04-21T12:00:00+00:00', '--job-id', '9', '--raw', '--subdir', 'DAGS_FOLDER/hourly_etl_pipeline.py', '--cfg-path', '/tmp/tmp8z8kcdrq']
[2025-04-21T13:00:00.967+0000] {standard_task_runner.py:91} INFO - Job 9: Subtask load_stg
[2025-04-21T13:00:01.118+0000] {task_command.py:426} INFO - Running <TaskInstance: hourly_etl_pipeline.load_stg scheduled__2025-04-21T12:00:00+00:00 [running]> on host ab2b55c0754d
[2025-04-21T13:00:01.317+0000] {logging_mixin.py:188} WARNING - /root/.local/lib/python3.8/site-packages/***/utils/context.py:212 AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
[2025-04-21T13:00:01.452+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='hourly_etl_pipeline' AIRFLOW_CTX_TASK_ID='load_stg' AIRFLOW_CTX_EXECUTION_DATE='2025-04-21T12:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-21T12:00:00+00:00'
[2025-04-21T13:00:01.454+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-04-21T13:00:01.474+0000] {logging_mixin.py:188} INFO - Target time: 2025-04-21 11:00:00+00:00
[2025-04-21T13:00:01.506+0000] {base.py:84} INFO - Using connection ID 'postgresql_lab08' for task execution.
[2025-04-21T13:00:01.581+0000] {logging_mixin.py:188} INFO - Processing file: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:00:01.618+0000] {base.py:84} INFO - Using connection ID 's3_yandex' for task execution.
[2025-04-21T13:00:01.620+0000] {connection_wrapper.py:384} INFO - AWS Connection (conn_id='s3_yandex', conn_type='aws') credentials retrieved from login and password.
[2025-04-21T13:08:31.872+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:08:31.876+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:08:31.879+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:08:31.883+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:08:31.886+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:08:31.890+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:08:31.893+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:08:31.896+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:08:31.899+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:08:31.903+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:08:31.906+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:08:31.909+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:08:31.912+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:08:31.916+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:08:31.919+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
[2025-04-21T13:08:31.922+0000] {logging_mixin.py:188} INFO - Processed successfully: year=2025/month=04/day=21/hour=11/browser_events.jsonl.zip
